chembl_id,smiles,IC50_nM_geomean,n_replicates,pIC50,activity_class,MW,ExactMW,cLogP,HBD,HBA,TPSA,RotBonds,Fsp3,HAC,Rings,ArRings,Stereo,Ro5_pass,LE,LipE,LELP,BEI,SEI,GE,LE_good,LipE_good,LELP_good,BEI_good,MPO_score,MPO_tier
CHEMBL312726,NCCCc1cc(-c2ccc[nH]2)c2c3c(ccc(F)c13)NC2=O,6.999999999999999,1,8.155,Active,309.344,309.1277,3.431,3,2,70.91,4,0.1667,23,4,3,0,True,0.3546,4.724,9.6757,26.3622,11.5005,48.9202,True,False,True,True,0.7624,Good (0.6–0.8)
CHEMBL360573,CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H](N)CC3)nc3c(C#N)cnn23)cc1,6.999999999999999,1,8.155,Active,454.56,454.1899,2.277,3,8,141.44,6,0.381,32,4,3,0,True,0.2548,5.878,8.9364,17.9404,5.7657,21.4042,False,True,True,True,0.7293,Good (0.6–0.8)
CHEMBL3648083,CN=S(C)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)cc1,6.999999999999999,1,8.155,Active,428.356,427.0678,3.25,3,7,99.5,6,0.375,25,2,2,3,True,0.3262,4.905,9.9632,19.0379,8.196,21.7467,True,False,True,True,0.7487,Good (0.6–0.8)
CHEMBL256558,Cc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1,6.999999999999999,1,8.155,Active,384.461,384.1256,2.592,2,4,95.16,4,0.2632,27,4,3,0,True,0.302,5.563,8.5828,21.2115,8.5698,30.984,True,True,True,True,0.771,Good (0.6–0.8)
CHEMBL402158,O=C(Cc1cccc(Br)c1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,6.999999999999999,1,8.155,Active,449.33,448.0205,3.047,2,4,95.16,4,0.2222,27,4,3,0,True,0.302,5.108,10.0894,18.1492,8.5698,36.7012,True,True,False,True,0.7322,Good (0.6–0.8)
CHEMBL402370,O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,6.999999999999999,1,8.155,Active,449.33,448.0205,3.047,2,4,95.16,4,0.2222,27,4,3,0,True,0.302,5.108,10.0894,18.1492,8.5698,36.7012,True,True,False,True,0.7322,Good (0.6–0.8)
CHEMBL495557,CC(C)(C)c1cnc(CSc2cnc(N[C@H]3CC[C@H](O)CC3)s2)o1,6.999999999999999,1,8.155,Active,367.54,367.1388,4.436,2,7,71.18,5,0.6471,24,3,2,0,True,0.3398,3.719,13.0547,22.1881,11.4569,12.6024,True,False,False,True,0.7623,Good (0.6–0.8)
CHEMBL3648125,Cc1cc(Nc2ncc(Br)c(N[C@@H](C)C(C)(C)O)n2)ccc1S(C)(=N)=O,6.999999999999999,1,8.155,Active,442.383,441.0834,3.898,4,7,110.99,6,0.4118,26,2,2,2,True,0.3137,4.257,12.4259,18.4343,7.3475,19.8033,True,False,False,True,0.7292,Good (0.6–0.8)
CHEMBL150261,N[C@H]1CC[C@H](Nc2nc(NCc3ccccc3)c3ncn(C4CCCC4)c3n2)CC1,6.999999999999999,1,8.155,Active,405.55,405.2641,4.235,3,6,93.68,6,0.5217,30,5,3,0,True,0.2718,3.92,15.5813,20.1085,8.7052,15.6316,False,False,False,True,0.7193,Good (0.6–0.8)
CHEMBL3648094,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](COC)[C@H](C)O)n2)cc1,6.999999999999999,1,8.155,Active,458.382,457.0783,3.216,4,8,120.22,9,0.4118,27,2,2,3,True,0.302,4.939,10.649,17.7908,6.7834,19.8033,True,False,False,True,0.7434,Good (0.6–0.8)
CHEMBL407709,NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc4ncsc4c32)cc1,7.1000000000000005,1,8.149,Active,373.419,373.0303,1.712,3,7,126.54,3,0.0,25,4,3,0,True,0.326,6.437,5.2515,21.8227,6.4399,,True,True,True,True,0.7729,Good (0.6–0.8)
CHEMBL5800538,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)O)C5)ncc3F)cc2n1C(C)C,7.34,1,8.134,Active,479.491,479.1881,4.836,2,6,109.06,4,0.2917,35,5,4,0,True,0.2324,3.298,20.809,16.9638,7.4583,27.8848,False,False,False,True,0.6198,Good (0.6–0.8)
CHEMBL23254,CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1,7.3484692283495345,2,8.134,Active,432.912,432.1677,3.931,4,7,125.19,8,0.4,30,3,3,1,True,0.2711,4.203,14.5002,18.789,6.4973,20.335,False,False,False,True,0.7042,Good (0.6–0.8)
CHEMBL5994315,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CC(=O)O)C5)ncc3F)cc2n1C(C)C,7.34,1,8.134,Active,493.518,493.2038,4.242,2,7,109.06,6,0.32,36,5,4,0,True,0.2259,3.892,18.7782,16.4817,7.4583,25.4188,False,False,False,True,0.6295,Good (0.6–0.8)
CHEMBL1964257,NS(=O)(=O)Cc1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,7.499999999999999,1,8.125,Active,386.458,386.0507,2.49,3,6,114.18,4,0.0588,26,4,3,0,True,0.3125,5.635,7.968,21.0243,7.116,138.1803,True,True,True,True,0.75,Good (0.6–0.8)
CHEMBL3642650,Clc1ccccc1-c1cc(NCc2ccncc2)n2ncc(Br)c2n1,7.745966692414836,2,8.111,Active,414.694,413.0043,4.819,1,4,55.11,4,0.0556,25,4,4,0,True,0.3244,3.292,14.8551,19.559,14.7178,145.8813,True,False,False,True,0.6643,Good (0.6–0.8)
CHEMBL4756353,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2ncc(SCc3ncc(C(C)(C)C)o3)s2)cc1,7.800000000000002,1,8.108,Active,499.662,499.1712,5.03,2,8,100.36,9,0.3333,34,3,3,0,False,0.2385,3.078,21.0901,16.227,8.0789,24.3264,False,False,False,True,0.6144,Good (0.6–0.8)
CHEMBL411425,CCc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,7.900000000000002,1,8.102,Active,344.396,344.0943,1.665,3,5,113.65,4,0.125,24,3,2,0,True,0.3376,6.437,4.9319,23.5252,7.1289,64.816,True,True,True,True,0.7922,Good (0.6–0.8)
