chembl_id,IC50_nM_geomean,n_replicates,smiles
CHEMBL4213219,13.5,1,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)CO)C5)ncc3F)cc2n1C(C)C
CHEMBL4213756,21.499999999999996,1,COCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1
CHEMBL421578,10.699999999999998,1,CS(=O)(=O)Nc1cccc(-c2cc(Nc3ccc(S(N)(=O)=O)cc3)[nH]n2)c1
CHEMBL421583,2999.9999999999977,1,Cc1ccc(N(CC#N)c2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c(Br)c1
CHEMBL4228654,3800.0000000000014,1,CC(C)Nc1ccc2cnn(-c3cncc(-c4ccc(C(=O)O)cc4)n3)c2c1
CHEMBL424696,13.999999999999996,1,c1ccc(Nc2ncc(-c3ccnc(OC4CCCCC4)n3)s2)nc1
CHEMBL427909,4.999999999999999,1,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1
CHEMBL4282338,9.000000000000002,1,C[C@@H](O)[C@@H](C)Oc1nc(Nc2ccc([S@](=N)(=O)C3CC3)cc2)ncc1C(F)(F)F
CHEMBL428690,58.002870912430836,6,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
CHEMBL429142,1.9,1,CC(C)CC(=O)c1ccc2c(c1)/C(=C/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2
CHEMBL4292930,1.0,1,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12
CHEMBL4294760,90.0,1,CSc1ncc2c(n1)CCc1cnc(Nc3ccc(C(=O)N(C)CCN(C)C)cc3)nc1-2
CHEMBL4297488,620.0000000000002,1,CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@H]3CCNC[C@@H]3O)nc12
CHEMBL4303287,146.669015132713,2,CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)c1
CHEMBL430507,699.9999999999998,1,CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1
CHEMBL430703,199.99499993749853,2,CC(C)c1cc(NC(=O)c2ccc(Br)cc2)n[nH]1
CHEMBL430854,18000.000000000007,1,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccc(Cl)cc3)n2)cc1
